Price,Year,Mileage,Location,Color,Age
20746,2006,18394,St.Paul,Grey,1
19787,2007,8,St.Paul,Black,0
17987,2005,39998,St.Paul,Grey,2
17588,2004,35882,St.Paul,Black,3
16987,2004,25306,St.Paul,Grey,3
16987,2005,33399,St.Paul,Black,2
15987,2003,39040,St.Paul,Grey,4
13987,2003,64495,St.Paul,Grey,4
13485,2003,58348,St.Paul,Black,4
10987,2001,77665,St.Paul,Brown,6
7987,1996,101104,St.Paul,Brown,11
18994,2005,33800,St.Paul,Grey,2
20801,2006,18394,St.Paul,Grey,1
16750,2005,26121,St.Paul,White,2
9995,2003,92097,St.Paul,Black,4
12995,2004,65217,St.Paul,Brown,3
7977,2002,100979,St.Paul,White,5
18900,2006,20811,St.Paul,Black,1
15995,2005,44033,St.Paul,Brown,2
11990,2002,59945,St.Paul,Black,5
16495,2004,48449,St.Paul,Black,3
14416,2005,58403,St.Paul,Brown,2
12995,2004,65217,St.Paul,Brown,3
11999,2002,67479,St.Paul,Grey,5
10992,2001,90610,St.Paul,Brown,6
7997,2002,100979,St.Paul,White,5
5995,1998,150000,St.Paul,Grey,9
4995,1997,145566,St.Paul,White,10
4900,1998,194500,St.Paul,Grey,9
14995,2003,30222,Durham,Grey,4
17995,2006,36512,Durham,Black,1
17990,2005,41959,Durham,Grey,2
17900,2006,29927,Durham,Brown,1
17900,2005,33971,Durham,Grey,2
13991,2004,72837,Durham,Grey,3
13991,2004,54102,Durham,White,3
13481,2003,55317,Durham,Brown,4
10995,2002,109000,Durham,Black,5
19995,2007,6912,Durham,Black,0
19995,2006,23533,Durham,Brown,1
19980,2004,19161,Durham,Brown,3
19988,2003,50005,Durham,White,4
9995,2001,46700,Durham,Brown,6
10988,2001,85740,Durham,Black,6
7987,2002,137283,Durham,Black,5
15000,2000,72200,Durham,Black,7
18995,2006,19869,Durham,Grey,1
10488,2001,61807,Durham,Brown,6
9988,1999,96645,Durham,Grey,8
8900,2000,157178,Durham,Black,7
8691,2001,150895,Durham,Black,6
7987,2002,137283,Durham,Black,5
22988,2006,15075,Durham,Black,1
17980,2004,35713,Durham,Black,3
17148,2003,47952,Durham,Black,4
15690,2006,43500,Durham,Black,1
14900,2003,31333,Durham,Brown,4
12990,2002,80872,Durham,White,5
10995,2003,93243,Durham,White,4
9998,2000,105771,Durham,Brown,7
9800,2000,88992,Durham,Brown,7
8350,2002,117620,Durham,Black,5
7900,1999,92994,Durham,Brown,8
20995,2006,14483,Santa Cruz,White,1
20995,2005,21962,Santa Cruz,Black,2
20991,2007,100,Santa Cruz,Black,0
18995,2004,38925,Santa Cruz,Brown,3
19220,2005,46782,Santa Cruz,Black,2
17989,2004,26599,Santa Cruz,White,3
17489,2004,36100,Santa Cruz,Black,3
16995,2005,44226,Santa Cruz,Black,2
16995,2004,46996,Santa Cruz,White,3
16895,2005,42522,Santa Cruz,Black,2
16888,2004,33829,Santa Cruz,Grey,3
16782,2005,39000,Santa Cruz,Grey,2
11350,2002,111887,Santa Cruz,Black,5
10991,2002,88000,Santa Cruz,Black,5
10564,2001,114299,Santa Cruz,White,6
9995,2001,110000,Santa Cruz,Black,6
9475,2000,84720,Santa Cruz,Grey,7
8991,2000,105780,Santa Cruz,Brown,7
7999,2000,94000,Santa Cruz,Brown,7
6999,1999,130974,Santa Cruz,White,8
21910,2007,2637,Santa Cruz,White,0
22995,2000,10789,Santa Cruz,Black,7
19999,2005,5650,Santa Cruz,Black,2
18995,2006,24654,Santa Cruz,White,1
16995,2005,42129,Santa Cruz,Black,2
11990,2002,63000,Santa Cruz,Black,5
11900,2003,90500,Santa Cruz,Brown,4
11499,2001,78499,Santa Cruz,Grey,6
10988,2004,127717,Santa Cruz,Black,3